Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
100,200000,100000,5000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
2.0,1,0.00040903030303
2.0,2,9.6303030303e-05
2.0,3,2.31717171717e-05
2.0,4,-1.12727272727e-05
2.0,5,-8.26262626263e-06
2.0,6,-2.60808080808e-05
2.0,7,-3.6101010101e-05
2.0,8,-3.53333333333e-05
2.0,9,-4.7898989899e-05
2.0,10,-1.88686868687e-05
2.0,11,-3.2303030303e-05
2.0,12,-3.23636363636e-05
2.0,13,-2.96161616162e-05
2.0,14,-4.07676767677e-05
2.0,15,-4.74949494949e-05
2.0,16,-4.68888888889e-05
2.0,17,-2.43636363636e-05
2.0,18,-2.23838383838e-05
2.0,19,-1.56161616162e-05
2.0,20,-3.00808080808e-05
2.0,21,-2.52525252525e-05
2.0,22,-3.31111111111e-05
2.0,23,-2.55757575758e-05
2.0,24,-3.29494949495e-05
2.0,25,-1.57373737374e-05
2.0,26,-4.14747474747e-05
2.0,27,-3.36767676768e-05
2.0,28,-4.42424242424e-05
2.0,29,-6.34545454545e-05
2.0,30,-4.65252525253e-05
2.0,31,-1.79191919192e-05
2.0,32,-3.83636363636e-05
2.0,33,-4.21212121212e-05
2.0,34,-4.60808080808e-05
2.0,35,-2.41818181818e-05
2.0,36,-9.57575757576e-06
2.0,37,-1.1696969697e-05
2.0,38,-1.24646464646e-05
2.0,39,-3.62626262626e-05
2.0,40,-3.47272727273e-05
2.0,41,-5.11515151515e-05
2.0,42,-3.29898989899e-05
2.0,43,-1.21616161616e-05
2.0,44,-2.65656565657e-05
2.0,45,-3.80404040404e-05
2.0,46,-4.79191919192e-05
2.0,47,-2.3595959596e-05
2.0,48,-2.64646464646e-05
2.0,49,-1.23232323232e-05
2.025,1,0.000447867474747
2.025,2,0.000126392727273
2.025,3,-8.01131313131e-06
2.025,4,-2.22739393939e-05
2.025,5,-3.46173737374e-05
2.025,6,-3.65567676768e-05
2.025,7,-3.89406060606e-05
2.025,8,-3.5183030303e-05
2.025,9,-9.32444444444e-06
2.025,10,-7.30424242424e-06
2.025,11,-1.71426262626e-05
2.025,12,-3.03749494949e-05
2.025,13,-3.58294949495e-05
2.025,14,-3.84557575758e-05
2.025,15,-2.38698989899e-05
2.025,16,-1.84153535354e-05
2.025,17,-1.58901010101e-05
2.025,18,-3.41527272727e-05
2.025,19,-3.86173737374e-05
2.025,20,-5.73042424242e-05
2.025,21,-4.85971717172e-05
2.025,22,-4.32638383838e-05
2.025,23,-4.33648484848e-05
2.025,24,-4.44557575758e-05
2.025,25,-1.63547474747e-05
2.025,26,-2.40719191919e-05
2.025,27,-2.86375757576e-05
2.025,28,-2.63547474747e-05
2.025,29,-3.47587878788e-05
2.025,30,-2.8981010101e-05
2.025,31,-5.91022222222e-05
2.025,32,-6.50214141414e-05
2.025,33,-4.63345454545e-05
2.025,34,-2.81729292929e-05
2.025,35,-3.088e-05
2.025,36,-1.13042424242e-05
2.025,37,-2.26981818182e-05
2.025,38,-2.59507070707e-05
2.025,39,-4.79911111111e-05
2.025,40,-4.73244444444e-05
2.025,41,-2.15668686869e-05
