Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.22,1,0.00158908757548
2.22,2,0.00085763781363
2.22,3,0.00045108689999
2.22,4,0.000234611738182
2.22,5,0.000140097714787
2.22,6,4.4825483796e-05
2.22,7,8.279877609e-06
2.22,8,-4.12517568798e-05
2.22,9,-2.87206531363e-05
2.22,10,-6.41358407238e-05
2.22,11,-9.94269579771e-05
2.22,12,-0.000121470120668
2.22,13,-0.000108897660146
2.22,14,-0.000132843234626
2.22,15,-0.000123813671423
2.22,16,-0.000150971288997
2.22,17,-0.000169485339962
2.22,18,-0.000135751994681
2.22,19,-0.000135200570974
2.22,20,-0.000121166837629
2.22,21,-9.12934582976e-05
2.22,22,-0.000101343155359
2.22,23,-0.000163405893592
2.22,24,-0.00015412818972
2.22,25,-0.00011386047351
2.22,26,-0.000118037508091
2.22,27,-0.000126543218773
2.22,28,-0.00014032881145
2.22,29,-0.000171608321234
2.22,30,-0.000199965285371
2.22,31,-0.000190025873051
2.22,32,-0.000198641868474
2.22,33,-0.00020279133187
2.22,34,-0.000164825809637
2.22,35,-0.000193403343257
2.22,36,-0.000165266948603
2.22,37,-0.000138660754736
2.22,38,-0.000171498036493
2.22,39,-0.000125274944247
2.22,40,-8.79711304625e-05
2.22,41,-0.000113281478618
2.22,42,-6.95260074605e-05
2.22,43,-9.86825359726e-05
2.22,44,-8.49383000735e-05
2.22,45,-9.66698394417e-05
2.22,46,-7.53435275702e-05
2.22,47,-7.6294733465e-05
2.22,48,-4.65592100605e-05
2.22,49,-4.06314052093e-05
2.22,50,-7.33919889414e-06
2.22,51,-2.64184591592e-05
2.22,52,-2.0325227196e-05
2.22,53,-2.33167008069e-05
2.22,54,-2.40335516261e-05
2.225,1,0.00120470214034
2.225,2,0.000494688975098
2.225,3,0.00019809194865
2.225,4,8.4016169247e-05
2.225,5,2.88462273532e-05
2.225,6,8.84333237879e-06
2.225,7,-3.83171801696e-05
2.225,8,-8.04597369834e-05
2.225,9,-7.66135566265e-05
2.225,10,-0.000101289767519
2.225,11,-0.000113310804333
2.225,12,-5.94918505216e-05
2.225,13,-7.46560024664e-05
2.225,14,-7.72201227043e-05
2.225,15,-8.97787976331e-05
2.225,16,-8.76420307682e-05
2.225,17,-0.000113889799225
2.225,18,-5.35502600777e-05
2.225,19,-8.43334885257e-05
2.225,20,-0.00012513884285
2.225,21,-0.000123884353916
2.225,22,-9.03026501549e-05
2.225,23,-6.58194375604e-05
2.225,24,-5.60730235376e-05
2.225,25,-6.88936247273e-05
2.225,26,-3.83447513549e-05
2.225,27,-5.83890031074e-05
2.225,28,-9.86429337245e-05
2.225,29,-0.000127027469047
